time,position,temperature
0.000000,0.734735,6.361495
0.000000,0.735736,6.213457
0.000000,0.736737,6.068257
0.000000,0.737738,5.925856
0.000000,0.738739,5.786217
0.000000,0.739740,5.649302
0.000000,0.740741,5.515074
0.000000,0.741742,5.383496
0.000000,0.742743,5.254531
0.000000,0.743744,5.128142
0.000000,0.744745,5.004291
0.000000,0.745746,4.882942
0.000000,0.746747,4.764058
0.000000,0.747748,4.647603
0.000000,0.748749,4.533540
0.000000,0.749750,4.421834
0.000000,0.367367,41.496888
0.000000,0.368368,42.049362
0.000000,0.369369,42.604923
0.000000,0.370370,43.163498
0.000000,0.371371,43.725016
0.000000,0.372372,44.289400
0.000000,0.373373,44.856575
0.000000,0.374374,45.426461
0.000000,0.375375,45.998978
0.000000,0.376376,46.574045
0.000000,0.377377,47.151575
0.000000,0.378378,47.731485
0.000000,0.379379,48.313686
0.000000,0.380380,48.898089
0.000000,0.381381,49.484602
0.000000,0.382382,50.073133
0.000000,0.383383,50.663587
0.000000,0.384384,51.255867
0.000000,0.385385,51.849876
0.000000,0.386386,52.445514
0.000000,0.387387,53.042680
0.000000,0.388388,53.641271
0.000000,0.389389,54.241181
0.000000,0.390390,54.842306
0.000000,0.391391,55.444537
0.000000,0.392392,56.047765
0.000000,0.393393,56.651880
0.000000,0.394394,57.256769
0.000000,0.395395,57.862319
0.000000,0.396396,58.468415
0.000000,0.397397,59.074940
0.000000,0.398398,59.681776
0.000000,0.399399,60.288806
0.000000,0.400400,60.895908
0.000000,0.401401,61.502960
0.000000,0.402402,62.109841
0.000000,0.403403,62.716426
0.000000,0.404404,63.322590
0.000000,0.405405,63.928207
0.000000,0.406406,64.533150
0.000000,0.407407,65.137290
0.000000,0.408408,65.740500
0.000000,0.409409,66.342647
0.000000,0.410410,66.943603
0.000000,0.411411,67.543234
0.000000,0.412412,68.141408
0.000000,0.413413,68.737993
0.000000,0.414414,69.332853
0.000000,0.415415,69.925855
0.000000,0.416416,70.516862
0.000000,0.417417,71.105741
0.000000,0.418418,71.692353
0.000000,0.419419,72.276562
0.000000,0.420420,72.858232
0.000000,0.421421,73.437224
0.000000,0.422422,74.013402
0.000000,0.423423,74.586626
0.000000,0.424424,75.156760
0.000000,0.425425,75.723664
0.000000,0.426426,76.287200
